"data","JSON_parentId"
"14.428703308","playgrounds.geometry_d9c28cdfbaf1c4b00e6b2fd3c4c2fb67"
"50.130802155","playgrounds.geometry_d9c28cdfbaf1c4b00e6b2fd3c4c2fb67"
"14.394289017","playgrounds.geometry_a33541d2bc256a1749788157ab2b6996"
"50.039928436","playgrounds.geometry_a33541d2bc256a1749788157ab2b6996"
"14.578857422","playgrounds.geometry_9ea48c7e94d3014071b364f9c6dc1f82"
"50.058303833","playgrounds.geometry_9ea48c7e94d3014071b364f9c6dc1f82"
"14.438419342","playgrounds.geometry_d280f9e512125d5248f5f7eaafca6b49"
"50.062217712","playgrounds.geometry_d280f9e512125d5248f5f7eaafca6b49"
"14.438850403","playgrounds.geometry_96b097d3cf060c4e6fdef0a1296072e8"
"50.13401413","playgrounds.geometry_96b097d3cf060c4e6fdef0a1296072e8"
"14.56323719","playgrounds.geometry_dec2dcf01c5bb900221a83e5115ad1a7"
"50.038024902","playgrounds.geometry_dec2dcf01c5bb900221a83e5115ad1a7"
"14.450510979","playgrounds.geometry_0a605120976368d14e0c4373770c1570"
"50.024711609","playgrounds.geometry_0a605120976368d14e0c4373770c1570"
"14.530841827","playgrounds.geometry_8ba68f5b932e8ccee7ed17d2f634448a"
"50.028141022","playgrounds.geometry_8ba68f5b932e8ccee7ed17d2f634448a"
"14.51568222","playgrounds.geometry_9a734979b5cc79a541b32a19bdc62447"
"50.028644562","playgrounds.geometry_9a734979b5cc79a541b32a19bdc62447"
"14.55935955","playgrounds.geometry_6ee28b8c12ed27805765c984b1b572a9"
"50.041461945","playgrounds.geometry_6ee28b8c12ed27805765c984b1b572a9"
"14.539891243","playgrounds.geometry_1da137f80e7330c2cc1f738eac531d14"
"50.043731689","playgrounds.geometry_1da137f80e7330c2cc1f738eac531d14"
"14.443644524","playgrounds.geometry_45879afb814356705c6e2aee3bc56c71"
"50.075458527","playgrounds.geometry_45879afb814356705c6e2aee3bc56c71"
"14.376726151","playgrounds.geometry_f9a95b14356dec6b9b288fd3ecb71db8"
"50.040672302","playgrounds.geometry_f9a95b14356dec6b9b288fd3ecb71db8"
"14.593131065","playgrounds.geometry_c21cd180f9efa1dc29d918c3fbc43708"
"50.036453247","playgrounds.geometry_c21cd180f9efa1dc29d918c3fbc43708"
"14.360547066","playgrounds.geometry_ef4fd9bcea07830b5917614d4d674e0c"
"50.039173126","playgrounds.geometry_ef4fd9bcea07830b5917614d4d674e0c"
"14.476410866","playgrounds.geometry_f9ae81c7b5fb83331ea53ccd600229e4"
"50.094387054","playgrounds.geometry_f9ae81c7b5fb83331ea53ccd600229e4"
"14.338851929","playgrounds.geometry_7bcff000fdf738989758a0ece4513073"
"50.03900528","playgrounds.geometry_7bcff000fdf738989758a0ece4513073"
"14.474110603","playgrounds.geometry_f64622000868078e048a22dbe4393fd5"
"50.110366821","playgrounds.geometry_f64622000868078e048a22dbe4393fd5"
"14.460893631","playgrounds.geometry_a59b7e5a624627686c878bb3546476c2"
"50.084918976","playgrounds.geometry_a59b7e5a624627686c878bb3546476c2"
"14.520215034","playgrounds.geometry_621a552b37dde53c70207acd78868bb7"
"50.040969849","playgrounds.geometry_621a552b37dde53c70207acd78868bb7"
"14.409308434","playgrounds.geometry_c59c8e375dfa52af0b68335a1cbc66fa"
"50.087097168","playgrounds.geometry_c59c8e375dfa52af0b68335a1cbc66fa"
"14.444430351","playgrounds.geometry_d9c5c1b9252621792720b579a793621f"
"50.070556641","playgrounds.geometry_d9c5c1b9252621792720b579a793621f"
"14.465678215","playgrounds.geometry_bb96e78dc3135f84930145af0f31cfb3"
"50.024188995","playgrounds.geometry_bb96e78dc3135f84930145af0f31cfb3"
"14.367668152","playgrounds.geometry_78b37383b22b3a6fbb1f21284997812a"
"50.052555084","playgrounds.geometry_78b37383b22b3a6fbb1f21284997812a"
"14.425937653","playgrounds.geometry_25a1a6c2328af6596e3dc02102185834"
"50.096256256","playgrounds.geometry_25a1a6c2328af6596e3dc02102185834"
"14.387363434","playgrounds.geometry_e7e34c7058246ac4bb15639a356e8341"
"50.0912323","playgrounds.geometry_e7e34c7058246ac4bb15639a356e8341"
"14.572277069","playgrounds.geometry_c7020231dfbe4f3310a2d3950caa83fe"
"50.105449677","playgrounds.geometry_c7020231dfbe4f3310a2d3950caa83fe"
"14.471165657","playgrounds.geometry_47696bbe98f940d4615cb4f1c853f1fa"
"50.138473511","playgrounds.geometry_47696bbe98f940d4615cb4f1c853f1fa"
"14.387671471","playgrounds.geometry_4680cb7aeae642d31d1b9d6a44b414f9"
"50.022670746","playgrounds.geometry_4680cb7aeae642d31d1b9d6a44b414f9"
"14.551672935","playgrounds.geometry_c10364bbd52dbefd74bdf5157f7652aa"
"50.132972717","playgrounds.geometry_c10364bbd52dbefd74bdf5157f7652aa"
"14.497822762","playgrounds.geometry_62c94c8278f41c2d33e8f9f8928fddf4"
"50.038227081","playgrounds.geometry_62c94c8278f41c2d33e8f9f8928fddf4"
"14.402903557","playgrounds.geometry_a2ef523059f94d8f3f0e841cb8dd40d9"
"50.083374023","playgrounds.geometry_a2ef523059f94d8f3f0e841cb8dd40d9"
"14.420970917","playgrounds.geometry_207c2f3f0ca7fb9e160842165a7e243d"
"50.104606628","playgrounds.geometry_207c2f3f0ca7fb9e160842165a7e243d"
"14.46777153","playgrounds.geometry_b02777202ca389ef9ad4d241b43b791c"
"50.035312653","playgrounds.geometry_b02777202ca389ef9ad4d241b43b791c"
"14.422737122","playgrounds.geometry_c452e3f4ba6f78547c232e05ab565eef"
"50.092597961","playgrounds.geometry_c452e3f4ba6f78547c232e05ab565eef"
"14.513507843","playgrounds.geometry_c599f9ed64af80f7987a1eef7a43cb4b"
"50.046081543","playgrounds.geometry_c599f9ed64af80f7987a1eef7a43cb4b"
"14.39943409","playgrounds.geometry_9bdbf778561ddc7fb1fd3758d5e65c29"
"50.074619293","playgrounds.geometry_9bdbf778561ddc7fb1fd3758d5e65c29"
"14.476807594","playgrounds.geometry_d8560a4119ad50743713c71c5cc00e38"
"50.048984528","playgrounds.geometry_d8560a4119ad50743713c71c5cc00e38"
"14.504220009","playgrounds.geometry_5853be1a43d0871053f84fde15fc5e6e"
"50.056983948","playgrounds.geometry_5853be1a43d0871053f84fde15fc5e6e"
"14.465281487","playgrounds.geometry_8bd50368cdc73cd8f34c9c1c82616bef"
"50.090747833","playgrounds.geometry_8bd50368cdc73cd8f34c9c1c82616bef"
"14.458648682","playgrounds.geometry_af7a6d107a1a4425db3099951fea0d1e"
"50.085216522","playgrounds.geometry_af7a6d107a1a4425db3099951fea0d1e"
"14.372724533","playgrounds.geometry_67fac6526783c908696978e8135457f3"
"50.134159088","playgrounds.geometry_67fac6526783c908696978e8135457f3"
"14.611674309","playgrounds.geometry_8f619ece447b3b02b0a2d0da30873aa1"
"50.03320694","playgrounds.geometry_8f619ece447b3b02b0a2d0da30873aa1"
"14.427121162","playgrounds.geometry_881f8ecd9fe123f77af485a5bee6f2e7"
"50.066875458","playgrounds.geometry_881f8ecd9fe123f77af485a5bee6f2e7"
"14.461966515","playgrounds.geometry_bc223d207d89242864012ebed277a87a"
