"JSON_parentId","geometry_type","properties_address_address_country","properties_address_address_formatted","properties_address_street_address","properties_address_postal_code","properties_address_address_locality","properties_address_address_region","properties_image_url","properties_content","properties_id","properties_name","properties_perex","properties_properties","properties_updated_at","properties_url","properties_district","type"
"playgrounds.geometry_d9c28cdfbaf1c4b00e6b2fd3c4c2fb67","Point","Česko","Toruňská 326/3, 18100 Praha-Bohnice, Česko","Toruňská 326/3","18100","Praha","Bohnice","http://www.hristepraha.cz/images/img/124f60c9d87bda76b3a42d3b6730bdf6o.jpg","Větší hřiště se rozkládá, mezi ulicemi Toruňská a Gdaňská (29.A). Děti mohou vyzkoušet asi deset atrakcí. Atraktivní je...","42","Bohnice a Čimice - Bohnice","Nedaleko od sebe leží 2 pěkná hřiště.","","2020-11-01T01:30:06.743Z","http://www.hristepraha.cz/hriste/mapa/bohnice-a-cimice-bohnice","praha-8","Feature"
"playgrounds.geometry_a33541d2bc256a1749788157ab2b6996","Point","Česko","Kosořská 1187/28, 15200 Praha-Hlubočepy, Česko","Kosořská 1187/28","15200","Praha","Hlubočepy","http://www.hristepraha.cz/images/img/f99cca2a9c7cff8fe3bb5033bd594b2bo.jpg","Pokud si chcete výlet užít celý, doporučujeme využít vlak a vystoupit na zastávce Praha Holyně. 50 metrů od zastávky...","138","Prokopské údolí a Dalejské údolí - hřiště 85.C","Máte chuť na půldenní výlet? Jezdíte rádi na kole? Chcete dětem ukázat domácí zvířata? Hrají si děti rády v zeleni? Zajímá vás geologie? Brouzdají se vaše děti rády v potoce? Pokud něco z toho platí, navštivte Prokopské a Dalejské údolí (<b>85</b>).","","2020-11-01T01:30:06.744Z","http://www.hristepraha.cz/hriste/mapa/prokopske-udoli-a-dalejske-udoli-hriste-85-c","praha-5","Feature"
"playgrounds.geometry_9ea48c7e94d3014071b364f9c6dc1f82","Point","Česko","U Lipové aleje 717/25, 10700 Praha-Dubeč, Česko","U Lipové aleje 717/25","10700","Praha","Dubeč","http://www.hristepraha.cz/images/img/b21e90793b2e5102b47a22336d1ce06fo.jpg","Za budovou, v níž sídlí pošta a městská policie, se rozkládá několik hřišť. Dětské hřiště (44.A) má převážně dřevěné...","74","Dubeč - hřiště 44.B","Městská část Praha Dubeč disponuje hezčím dětským hřištěm (pro všechny věkové kategorie dětí) než mnohé větší městské části. V areálu se také nachází několik sportovišť.","","2020-11-01T01:30:06.743Z","http://www.hristepraha.cz/hriste/mapa/dubec-hriste-44-b","praha-dubec","Feature"
"playgrounds.geometry_d280f9e512125d5248f5f7eaafca6b49","Point","Česko","náměstí Generála Kutlvašra, 10003 Praha-Nusle, Česko","náměstí Generála Kutlvašra","10003","Praha","Nusle","http://www.hristepraha.cz/images/img/27212133922ea71f62828fd5ad0ce84fo.jpg","Náměstí Generála Kutlvašra pojmenované po legionáři a veliteli Pražského povstání představuje nevelkou plochu zeleně ve...","139","Náměstí Generála Kutlvašra","Hledáte azyl v parných dnech? Ano? Pak nepřehlédněte pěkné hřiště v Nuslích.","","2020-11-01T01:30:06.744Z","http://www.hristepraha.cz/hriste/mapa/namesti-generala-kutlvasra","praha-4","Feature"
"playgrounds.geometry_96b097d3cf060c4e6fdef0a1296072e8","Point","Česko","Pekařova, 18100 Praha-Čimice, Česko","Pekařova","18100","Praha","Čimice","http://www.hristepraha.cz/images/img/b07bef69aa2b3d96453cabfe59e577f7o.jpg","Větší hřiště se rozkládá, mezi ulicemi Toruňská a Gdaňská (29.A). Děti mohou vyzkoušet asi deset atrakcí. Atraktivní je...","43","Bohnice a Čimice - Čimice","Nedaleko od sebe leží 2 pěkná hřiště.","","2020-11-01T01:30:06.743Z","http://www.hristepraha.cz/hriste/mapa/bohnice-a-cimice-cimice","praha-8","Feature"
"playgrounds.geometry_dec2dcf01c5bb900221a83e5115ad1a7","Point","Česko","Rezlerova, 10900 Praha-Petrovice, Česko","Rezlerova","10900","Praha","Petrovice","http://www.hristepraha.cz/images/img/41f5da50efa25a661c878386afd9fe27o.jpg","Za panelovým domem v Rezlerově ulici se rozkládá parkový travnatý prostor. Jeho část byla revitalizovaná na dětská...","101","Sídliště Petrovice - Rezlerova","Lokalita nabízí několik pěkných menších hřišť, jejichž spojením vznikne zajímavá trasa.","","2020-11-01T01:30:06.745Z","http://www.hristepraha.cz/hriste/mapa/sidliste-petrovice-rezlerova","praha-petrovice","Feature"
"playgrounds.geometry_0a605120976368d14e0c4373770c1570","Point","Česko","14200 Praha-Lhotka, Česko","","14200","Praha","Lhotka","http://www.hristepraha.cz/images/img/4559b569a03bf754c48c1def8d8df4a1o.jpg","Dětské hřiště (77.A) se rozkládá mezi ulicemi Štúrova, Na Větrově a V pláni. Nejlepší přístup je ale z ulice...","85","Sídliště Krč - hřiště 77.A","Máte rádi pirátské příběhy? Pak si nenechte ujít návštěvu této lokality!","","2020-11-01T01:30:06.745Z","http://www.hristepraha.cz/hriste/mapa/sidliste-krc-hriste-77-a","praha-4","Feature"
"playgrounds.geometry_8ba68f5b932e8ccee7ed17d2f634448a","Point","Česko","Stříbrského 681/18, 14900 Praha-Háje, Česko","Stříbrského 681/18","14900","Praha","Háje","http://www.hristepraha.cz/images/img/2bb040bc730e7304da385da87d5c837do.jpg","Hřiště (55) leží cca 300 m od stanice metra Háje, u budovy Městského úřadu Prahy 11, na ulici Ocelíkova. Dominantní...","120","Háje - Ocelíkova","U stanic metra Háje najdete hřiště s netradičním dominantním herním prvkem.","","2020-11-01T01:30:06.743Z","http://www.hristepraha.cz/hriste/mapa/haje-ocelikova","praha-11","Feature"
"playgrounds.geometry_9a734979b5cc79a541b32a19bdc62447","Point","Česko","Křejpského, 14900 Praha-Chodov, Česko","Křejpského","14900","Praha","Chodov","http://www.hristepraha.cz/images/img/7c25373b633e90b8dcdb762a24a0ad74o.jpg","Půjdete-li z Opatova ve směru na Háje (prostor parku), na louce nejprve uvidíte lanovou síťovou sestavu...","62","Opatov - hřiště 38.B","U stanic metra Opatov lze navštívit několik hřišť.","","2020-11-01T01:30:06.744Z","http://www.hristepraha.cz/hriste/mapa/opatov-hriste-38-b","praha-11","Feature"
"playgrounds.geometry_6ee28b8c12ed27805765c984b1b572a9","Point","Česko","10900 Praha-Horní Měcholupy, Česko","","10900","Praha","Horní Měcholupy","http://www.hristepraha.cz/images/img/97df34fd1bf56cffb074d266118ad502o.jpg","Za panelovým domem v Rezlerově ulici se rozkládá parkový travnatý prostor. Jeho část byla revitalizovaná na dětská...","102","Sídliště Petrovice - Veronské náměstí","Lokalita nabízí několik pěkných menších hřišť, jejichž spojením vznikne zajímavá trasa.","","2020-11-01T01:30:06.745Z","http://www.hristepraha.cz/hriste/mapa/sidliste-petrovice-veronske-namesti","praha-15","Feature"
