"data","JSON_parentId"
"14.192","stops.geometry_fc9f44d67eb92b7104f2da8175c37fcb"
"50.20746","stops.geometry_fc9f44d67eb92b7104f2da8175c37fcb"
"15.30304","stops.geometry_6757f10d66f10c70338187d4bbf57e42"
"49.95991","stops.geometry_6757f10d66f10c70338187d4bbf57e42"
"13.76811","stops.geometry_8d211c28ea3e2eac832501a214884ec1"
"50.34336","stops.geometry_8d211c28ea3e2eac832501a214884ec1"
"14.94614","stops.geometry_fa7e3caa3c6a350137fb0b0ccc226538"
"50.3185","stops.geometry_fa7e3caa3c6a350137fb0b0ccc226538"
"14.37784","stops.geometry_5af2e4dd8bc3af8d6fde3ea42f1c3ef6"
"50.05513","stops.geometry_5af2e4dd8bc3af8d6fde3ea42f1c3ef6"
"14.5153","stops.geometry_2c270482d39c727c7d0ef9ec301fc1aa"
"50.08149","stops.geometry_2c270482d39c727c7d0ef9ec301fc1aa"
"14.45881","stops.geometry_feffd2e10f08bf99ac0828e026e4b125"
"50.05819","stops.geometry_feffd2e10f08bf99ac0828e026e4b125"
"14.40429","stops.geometry_3433ca4ad379ad24f621729bcd736dca"
"49.99764","stops.geometry_3433ca4ad379ad24f621729bcd736dca"
"14.35472","stops.geometry_7772cfbaf5a32eed1d6326801e6d965d"
"50.46171","stops.geometry_7772cfbaf5a32eed1d6326801e6d965d"
"15.22457","stops.geometry_04812b62ff406eac034843eef6a2d216"
"50.0187","stops.geometry_04812b62ff406eac034843eef6a2d216"
"15.21084","stops.geometry_87461c2caf9cd0b6f661f2d0aa4967e7"
"50.11534","stops.geometry_87461c2caf9cd0b6f661f2d0aa4967e7"
"15.06441","stops.geometry_c5e07502a4a9836117d0dbcc54cb6283"
"50.18843","stops.geometry_c5e07502a4a9836117d0dbcc54cb6283"
"14.89456","stops.geometry_e69876d37aaff0989630531994290438"
"50.40826","stops.geometry_e69876d37aaff0989630531994290438"
"14.52262","stops.geometry_1f4f5fc0abafcd43eae7ab5ee2ec97f2"
"50.26205","stops.geometry_1f4f5fc0abafcd43eae7ab5ee2ec97f2"
"13.59245","stops.geometry_d1a426febc6ef092c3bbdb5e3cc5c68a"
"49.74","stops.geometry_d1a426febc6ef092c3bbdb5e3cc5c68a"
"14.05842","stops.geometry_17cad9dc70fe24c7c2c198cac9763f83"
"49.95131","stops.geometry_17cad9dc70fe24c7c2c198cac9763f83"
"14.51621","stops.geometry_a8dedeba965dc53af79e89a7f7663338"
"50.12458","stops.geometry_a8dedeba965dc53af79e89a7f7663338"
"14.51678","stops.geometry_81937d249cb56442a20f4e8712d0a12e"
"50.12493","stops.geometry_81937d249cb56442a20f4e8712d0a12e"
"14.51608","stops.geometry_d9cccb3588ed93268a649755340ce5e2"
"50.12495","stops.geometry_d9cccb3588ed93268a649755340ce5e2"
"14.51636","stops.geometry_991ea5edd6243b2f70428956f6ad4a78"
"50.12498","stops.geometry_991ea5edd6243b2f70428956f6ad4a78"
"14.5163","stops.geometry_03b7d63a16e8af7a1eab6c27681aac93"
"50.12519","stops.geometry_03b7d63a16e8af7a1eab6c27681aac93"
"14.51677","stops.geometry_edc554a9fe1293bb4042e7c4cd167f1d"
"50.12504","stops.geometry_edc554a9fe1293bb4042e7c4cd167f1d"
"14.51599","stops.geometry_7d7e07872040b77e8eb7077d09829420"
"50.12518","stops.geometry_7d7e07872040b77e8eb7077d09829420"
"14.51621","stops.geometry_1b9b8bffd87cf40101aa97cc8d839abb"
"50.12478","stops.geometry_1b9b8bffd87cf40101aa97cc8d839abb"
"14.51622","stops.geometry_7167d1cdc6b57fabdb7318fff332851a"
"50.12496","stops.geometry_7167d1cdc6b57fabdb7318fff332851a"
"14.51578","stops.geometry_b0047246d092ffec9936df5b0cdcccdb"
"50.12563","stops.geometry_b0047246d092ffec9936df5b0cdcccdb"
"14.5158","stops.geometry_89c1e95d1c8c6731da27839f34209b46"
"50.12518","stops.geometry_89c1e95d1c8c6731da27839f34209b46"
"14.5168","stops.geometry_8b1511dbc7adfd8a2a6642b5e6bdb0ad"
"50.12512","stops.geometry_8b1511dbc7adfd8a2a6642b5e6bdb0ad"
"14.51641","stops.geometry_2921bbefe37e9606d703f43c41f5306f"
"50.12625","stops.geometry_2921bbefe37e9606d703f43c41f5306f"
"14.51636","stops.geometry_c2d19232e7d2836a3019047b50f5efe9"
"50.12486","stops.geometry_c2d19232e7d2836a3019047b50f5efe9"
"14.51561","stops.geometry_762536c1c50ccf8a31e0ac4716ce6b6f"
"50.12516","stops.geometry_762536c1c50ccf8a31e0ac4716ce6b6f"
"14.51573","stops.geometry_265f9bada9b5d30f9f611859745d700b"
"50.12519","stops.geometry_265f9bada9b5d30f9f611859745d700b"
"14.51577","stops.geometry_ecefec2ce0316c22d0d39c060e2c3c45"
"50.12537","stops.geometry_ecefec2ce0316c22d0d39c060e2c3c45"
"14.51567","stops.geometry_d3c92d1c078f36710b6a728607bdbe0a"
"50.12571","stops.geometry_d3c92d1c078f36710b6a728607bdbe0a"
"14.51599","stops.geometry_3a4648051b1b5bf077da23028da5e18f"
"50.12493","stops.geometry_3a4648051b1b5bf077da23028da5e18f"
"14.51589","stops.geometry_b0bacdd273642fa7a54553c55efc72c7"
"50.12495","stops.geometry_b0bacdd273642fa7a54553c55efc72c7"
"14.51631","stops.geometry_9ab287175cf1b73605e83a7881191778"
"50.12531","stops.geometry_9ab287175cf1b73605e83a7881191778"
"14.51642","stops.geometry_9a7ab669e220e4e31432b54b7e9d111b"
"50.12526","stops.geometry_9a7ab669e220e4e31432b54b7e9d111b"
"14.51684","stops.geometry_b9d1b3e51e839c8b8fd2652f3de83abc"
"50.12528","stops.geometry_b9d1b3e51e839c8b8fd2652f3de83abc"
"14.51678","stops.geometry_5d45139e0797a698e51eba18ea817329"
"50.12481","stops.geometry_5d45139e0797a698e51eba18ea817329"
"14.51687","stops.geometry_facbe33f78bf6f601d527bee6fff132f"
"50.1252","stops.geometry_facbe33f78bf6f601d527bee6fff132f"
"14.51678","stops.geometry_c0663fdd94572d7f6d1fa7cca00ac303"
"50.12597","stops.geometry_c0663fdd94572d7f6d1fa7cca00ac303"
"14.51575","stops.geometry_707985bea25f5936963a2c53e2a326d0"
"50.12556","stops.geometry_707985bea25f5936963a2c53e2a326d0"
"14.51627","stops.geometry_ecf95582fd7e163f07848429742a8832"
"50.12415","stops.geometry_ecf95582fd7e163f07848429742a8832"
"14.51607","stops.geometry_555bb73f4efda89497c9361a6dfdaf22"
"50.12416","stops.geometry_555bb73f4efda89497c9361a6dfdaf22"
"14.51575","stops.geometry_995a9803b9305918b95a5994f1d74f0a"
"50.12556","stops.geometry_995a9803b9305918b95a5994f1d74f0a"
"14.51528","stops.geometry_a6554e2e44f15f0ae9a55aee6a707792"
"50.12585","stops.geometry_a6554e2e44f15f0ae9a55aee6a707792"
"14.51677","stops.geometry_3f8c3afb78effc5f8c9ce67ff17fa497"
"50.12565","stops.geometry_3f8c3afb78effc5f8c9ce67ff17fa497"
"14.51677","stops.geometry_10b2f1dbfe91d10856b207afee9f152b"
"50.12565","stops.geometry_10b2f1dbfe91d10856b207afee9f152b"
"14.51678","stops.geometry_c2f988daa46e9855c204b25879d762a6"
"50.12597","stops.geometry_c2f988daa46e9855c204b25879d762a6"
"14.5164","stops.geometry_bf125535b651561d0c4213a8203c0f21"
"50.12452","stops.geometry_bf125535b651561d0c4213a8203c0f21"
"14.5164","stops.geometry_3538fc853534fca42639a4026d8dc6f6"
"50.12452","stops.geometry_3538fc853534fca42639a4026d8dc6f6"
"14.51651","stops.geometry_7d10999a301642fe9ce55ed8f22dd94c"
"50.12561","stops.geometry_7d10999a301642fe9ce55ed8f22dd94c"
"14.5165","stops.geometry_bd5ea90ad51d89ce9f9a96514c4eeefe"
"50.12527","stops.geometry_bd5ea90ad51d89ce9f9a96514c4eeefe"
"14.5165","stops.geometry_55fcddaa0188d5587610c0930da02cf4"
"50.12527","stops.geometry_55fcddaa0188d5587610c0930da02cf4"
"14.51518","stops.geometry_fd485d17e38ee9ed1f3d41e8ad3d24a1"
"50.12515","stops.geometry_fd485d17e38ee9ed1f3d41e8ad3d24a1"
"14.51518","stops.geometry_09d14ec5ac8f1a9124c264a2f4b98b88"
"50.12515","stops.geometry_09d14ec5ac8f1a9124c264a2f4b98b88"
"14.51613","stops.geometry_01617152cdd6eb81551c15d15a68af2c"
"50.12558","stops.geometry_01617152cdd6eb81551c15d15a68af2c"
"14.51613","stops.geometry_0b0004c598eba2ea39055f0a607f6762"
"50.12558","stops.geometry_0b0004c598eba2ea39055f0a607f6762"
"14.567","stops.geometry_d5bed589680b8f871ee23db3e8c4dc7e"
"50.04397","stops.geometry_d5bed589680b8f871ee23db3e8c4dc7e"
"14.56722","stops.geometry_9975d958485e6b4a75e5ab9f1e957875"
"50.0444","stops.geometry_9975d958485e6b4a75e5ab9f1e957875"
"14.36562","stops.geometry_132a58317d6242145373058a5004c1bb"
"49.99146","stops.geometry_132a58317d6242145373058a5004c1bb"
"14.63347","stops.geometry_1104bc6242e55c44b1e9a77d6a82467b"
"50.00964","stops.geometry_1104bc6242e55c44b1e9a77d6a82467b"
"14.6327","stops.geometry_b0eba3e2b58333629b7af5e2d0b16872"
"50.00982","stops.geometry_b0eba3e2b58333629b7af5e2d0b16872"
"14.4097","stops.geometry_e7135c2b3c8e75bbd6ec291402ef9e5b"
