"JSON_parentId","geometry_type","properties_level_id","properties_location_type","properties_parent_station","properties_platform_code","properties_stop_code","properties_stop_desc","properties_stop_id","properties_stop_name","properties_stop_timezone","properties_stop_url","properties_wheelchair_boarding","properties_zone_id","type"
"stops.geometry_fc9f44d67eb92b7104f2da8175c37fcb","Point","","0","","","","","T53986","Želenice u Slaného","","","0","","Feature"
"stops.geometry_6757f10d66f10c70338187d4bbf57e42","Point","","0","","","","","T54015","K.Hora hl.n.náv.L11a","","","0","","Feature"
"stops.geometry_8d211c28ea3e2eac832501a214884ec1","Point","","0","","","","","T54619","Louny předměstí","","","0","","Feature"
"stops.geometry_fa7e3caa3c6a350137fb0b0ccc226538","Point","","0","","","","","T56221","Luštěnice-Újezd","","","0","","Feature"
"stops.geometry_5af2e4dd8bc3af8d6fde3ea42f1c3ef6","Point","","0","","","","","T57106","Praha-Waltrovka","","","0","","Feature"
"stops.geometry_2c270482d39c727c7d0ef9ec301fc1aa","Point","","0","","","","","T57196","Praha-Malešice","","","0","","Feature"
"stops.geometry_feffd2e10f08bf99ac0828e026e4b125","Point","","0","","","","","T57278","Pha-Vršovice depo","","","0","","Feature"
"stops.geometry_3433ca4ad379ad24f621729bcd736dca","Point","","0","","","","","T57376","Praha-Modřany","","","0","","Feature"
"stops.geometry_7772cfbaf5a32eed1d6326801e6d965d","Point","","0","","","","","T58005","Hněvice seř.n.","","","0","","Feature"
"stops.geometry_04812b62ff406eac034843eef6a2d216","Point","","0","","","","","T58007","Kolín seř.n.","","","0","","Feature"
"stops.geometry_87461c2caf9cd0b6f661f2d0aa4967e7","Point","","0","","","","","T58053","Velký Osek-Kanín","","","0","","Feature"
"stops.geometry_c5e07502a4a9836117d0dbcc54cb6283","Point","","0","","","","","T58083","Nymburk předj.n.","","","0","","Feature"
"stops.geometry_e69876d37aaff0989630531994290438","Point","","0","","","","","T58091","Mladá Boleslav hl.n. kolej č.5c","","","0","","Feature"
"stops.geometry_1f4f5fc0abafcd43eae7ab5ee2ec97f2","Point","","0","","","","","T58104","Neratovice výhybka č. 104","","","0","","Feature"
"stops.geometry_d1a426febc6ef092c3bbdb5e3cc5c68a","Point","","0","","","","","T73205","Rokycany","","","0","","Feature"
