kod_cast_obec,x_min,x_max,y_min,y_max,nazev,popis,kod_obec,upper_name
143294,16.291331,16.339158,49.231298,49.250474,Rudka,Část obce,583804,Rudka
000931,14.890675,14.957652,49.916332,49.952922,Radlice,Část obce,533173,Barchovice
125741,15.170924,15.201556,49.481471,49.510206,Zmišovice,Část obce,547778,Červená Řečice
125768,15.513392,15.558032,49.333958,49.361531,Popice,Část obce,586846,Jihlava
126373,18.018398,18.083719,49.129052,49.170859,Poteč,Část obce,549533,Poteč
126381,15.409748,15.459373,49.829261,49.869825,Bratčice,Část obce,531286,Bratčice
126624,14.221119,14.253901,49.770363,49.796592,Pouště,Část obce,540781,Mokrovraty
087572,15.250663,15.282213,50.672123,50.694987,Loužnice,Část obce,563684,Loužnice
136221,15.617007,15.666717,49.321977,49.358051,Příseka,Část obce,586943,Brtnice
087611,13.518427,13.563363,49.412377,49.434532,Pohoří,Část obce,556955,Plánice
136239,15.434393,15.474939,49.645073,49.674089,Pohleď,Část obce,573591,Pohleď
136557,13.568042,13.624949,50.088517,50.122766,Pšovlky,Část obce,542270,Pšovlky
137341,15.985258,16.034770,49.102305,49.119458,Račice,Část obce,591521,Račice
137910,14.598991,14.635881,49.373759,49.401182,Slapy,Část obce,599042,Slapy
137979,16.725781,16.775825,49.726375,49.752261,Radkov,Část obce,574333,Radkov
153117,14.539435,14.588145,50.629709,50.646838,Srní u České Lípy,Část obce,561983,Provodín
140121,13.528849,13.564642,49.076268,49.103297,Zhůří,Část obce,557021,Rejštejn
140180,14.235645,14.261272,49.968522,49.979277,Kuchařík,Část obce,571318,Roblín
140198,14.236531,14.289134,49.950638,49.974467,Roblín,Část obce,571318,Roblín
141381,14.115455,14.156049,49.753351,49.773105,Sychrov,Část obce,541206,Rosovice
141950,17.765876,17.800506,49.457696,49.490340,Rouské,Část obce,517615,Rouské
142727,13.772381,13.818006,49.540225,49.570528,Roželov,Část obce,540315,Hvožďany
