kod_zsj_d,x_min,x_max,y_min,y_max,nazev,popis,kod_zsj,kod_cast_obec,kod_momc,upper_name,area
1119370,16.073108,16.105441,50.251477,50.268060,Čánka,ZSJ-D,111937,111937,576590,Opočno,2358901.000000
1120892,15.850311,15.856217,49.930330,49.933934,Orel díl 2,ZSJ-D,112089,410021,571962,Orel,32942.000000
1671420,14.586918,14.626446,49.742983,49.766614,Tisem,ZSJ-D,167142,167142,532592,Tisem,3472653.000000
1114490,14.447300,14.491130,49.398683,49.424849,Podboří,ZSJ-D,111449,111449,552801,Opařany,3550278.000000
1471330,16.290009,16.329431,49.428103,49.450389,Sejřek,ZSJ-D,147133,147133,596710,Sejřek,3431256.000000
1919730,14.587697,14.627285,50.539458,50.560932,Zbyny,ZSJ-D,191973,191973,561495,Doksy,3025267.000000
1940510,14.383240,14.447357,49.921857,49.947497,Zvole,ZSJ-D,194051,194051,539902,Zvole,6301002.000000
1367010,16.151111,16.205190,49.234789,49.258322,Pucov,ZSJ-D,136701,136701,591491,Pucov,4912928.000000
0507170,17.208560,17.276969,49.505110,49.524090,Charváty,ZSJ-D,050717,050717,568872,Charváty,4317010.000000
0104720,16.568604,16.577327,49.210480,49.216856,Horova,ZSJ-D,010472,411922,550990,Brno,237618.000000
1002260,13.912455,13.945875,50.189953,50.213979,Háj,ZSJ-D,100226,100234,542105,Mšec,4130387.000000
3007480,18.113844,18.137489,49.827288,49.835447,Hlubočice,ZSJ-D,300748,186686,500291,Vřesina,883628.000000
1212820,12.707218,12.789790,49.847707,49.887623,Planá,ZSJ-D,121282,121282,561134,Planá,15667551.000000
0865500,13.966631,13.995974,49.416058,49.437187,Míreč,ZSJ-D,086550,086550,536822,Lom,2799168.000000
0514200,14.976354,15.024147,49.683463,49.705221,Chlum,ZSJ-D,051420,051420,529770,Chlum,4188529.000000
0846890,15.518267,15.548736,49.910086,49.929780,Lipovec,ZSJ-D,084689,084689,547875,Lipovec,2103972.000000
1931010,14.836306,14.864226,49.598847,49.621104,Hrajovice,ZSJ-D,193101,193101,531031,Kamberk,2307554.000000
1226450,13.403786,13.413431,49.739509,49.748447,Letná,ZSJ-D,122645,490300,546208,Plzeň,419398.000000
1929110,16.465387,16.491054,49.410549,49.425816,Zhoř,ZSJ-D,192911,192911,582735,Zhoř,2088541.000000
0792600,13.892996,13.932268,49.637409,49.664947,Láz,ZSJ-D,079260,079260,540625,Láz,4672870.000000
1735090,14.253461,14.295235,50.265354,50.296367,Uhy,ZSJ-D,173509,173509,533009,Uhy,5792635.000000
1945810,13.749058,13.775741,49.103807,49.124820,Žár,ZSJ-D,194581,194581,550621,Vacov,2178459.000000
1166020,16.359747,16.411037,50.538715,50.582210,Otovice,ZSJ-D,116602,116602,574317,Otovice,10600360.000000
0866730,17.399933,17.468624,49.887551,49.929339,Tylov,ZSJ-D,086673,086673,597589,Lomnice,11988024.000000
1495780,14.743698,14.766883,49.567571,49.585405,Slapsko,ZSJ-D,149578,149578,599026,Slapsko,2147354.000000
0580840,16.274157,16.377375,49.641846,49.685204,Jedlová,ZSJ-D,058084,058084,578185,Jedlová,20186870.000000
0801790,15.854299,15.895090,48.896762,48.919385,Lesná,ZSJ-D,080179,080179,594342,Lesná,3439951.000000
0484610,16.026852,16.093578,49.067298,49.133664,Hrotovice,ZSJ-D,048461,048461,590673,Hrotovice,20872864.000000
0910062,13.320698,13.338759,50.439864,50.444697,Ahníkov díl 2,ZSJ-D,091006,091014,563200,Málkov,187284.000000
